Date,Gauge: 410734: Downstream Flow (ML.day^-1),Gauge: 410734: Recorded Gauging Station Flow (ML.day^-1),Total: SC #1: Outflow (ML.day^-1),Total: SC #1: Quick Flow (ML.day^-1),Total: SC #1: Slow Flow (ML.day^-1),Total: SC #2: Outflow (ML.day^-1),Total: SC #2: Quick Flow (ML.day^-1),Total: SC #2: Slow Flow (ML.day^-1)
2000-07-26,9.9994030567459049,26.006399999999999,5.0523458714105303,2.3313343709844676,2.7210115004260622,4.9470571853353746,2.6587355860685213,2.2883215992668529
2000-07-27,16.324433702454932,25.920000000000002,9.5140520783549913,5.6568346631002919,3.8572174152546999,6.8103816240999402,4.1531863366761508,2.657195287423789
2000-07-28,10.279098936148296,26.006399999999999,6.4839277949041252,3.7618977453545779,2.7220300495495477,3.7951711412441704,2.1892908042584249,1.6058803369857453
2000-07-29,6.7887664921599464,25.747199999999999,5.5128788559569957,3.310171356329175,2.2027074996278206,1.2758876362029512,0.62269693132949422,0.65319070487345687
2000-07-30,0,25.574400000000001,0,0,0,0,0,0
2000-07-31,0,25.142399999999999,0,0,0,0,0,0
2000-08-01,0,24.623999999999999,0,0,0,0,0,0
2000-08-02,0,24.537600000000001,0,0,0,0,0,0
2000-08-03,0,23.846400000000003,0,0,0,0,0,0
2000-08-04,0,22.723200000000002,0,0,0,0,0,0
2000-08-05,0,22.377600000000001,0,0,0,0,0,0
2000-08-06,0,21.7728,0,0,0,0,0,0
2000-08-07,0,21.427200000000003,0,0,0,0,0,0
2000-08-08,0,21.427200000000003,0,0,0,0,0,0
2000-08-09,78.747351748469654,33.782400000000003,38.096835706087184,35.014783121425317,3.0820525846618652,40.650516042382471,34.223096707758437,6.427419334624032
2000-08-10,168.02393819331533,92.534400000000005,78.327762446865663,75.004440604905483,3.3233218419601886,89.69617574644964,75.102938902112427,14.593236844337206
2000-08-11,40.087670101105473,81.388800000000003,14.700397627189856,11.113797117441566,3.58660050974829,25.387272473915619,14.142128508636118,11.245143965279501
2000-08-12,16.443628047718217,56.160000000000004,2.9875164098636198,1.7241638273860447,1.2633525824775751,13.456111637854598,4.8126206947106915,8.643490943143906
2000-08-13,23.721434605326891,43.027200000000001,7.3686492730476658,4.5225881074670964,2.846061165580569,16.352785332279229,6.6551088189972827,9.6976765132819445
2000-08-14,60.273889763099938,37.929600000000001,30.606221351107418,22.349937693059189,8.2562836580482308,29.667668411992519,17.04977864775795,12.617889764234569
2000-08-15,126.71918003216477,70.588800000000006,70.748895921832684,54.1100800402603,16.638815881572391,55.970284110332074,38.204115447380623,17.766168662951447
2000-08-16,45.476565212085269,80.265600000000006,24.232305450723583,11.893871471743552,12.33843397898003,21.244259761361686,7.7739644932666581,13.470295268095025
2000-08-17,25.528671726713007,69.292800000000014,11.580774156195956,3.5592527582980633,8.0215213978978941,13.947897570517048,3.3409152129789224,10.606982357538127
2000-08-18,22.609259259427631,53.827200000000005,10.195500982603482,3.2542646866133751,6.9412362959901079,12.413758276824147,3.0294643044960705,9.3842939723280754
2000-08-19,11.465629245148605,44.496000000000002,3.8287125127211361,0.26988618935598552,3.5588263233651505,7.63691673242747,0.37510854682856276,7.2618081855989072
